Local time,Open,High,Low,Close,Volume
01.08.2023 03:14:00.000 GMT+0200,1.09896,1.09896,1.09890,1.09892,111.06
01.08.2023 03:15:00.000 GMT+0200,1.09892,1.09893,1.09882,1.09890,219.35
01.08.2023 03:16:00.000 GMT+0200,1.09891,1.09900,1.09889,1.09900,218.6
01.08.2023 03:17:00.000 GMT+0200,1.09899,1.09899,1.09891,1.09895,125.65
01.08.2023 03:18:00.000 GMT+0200,1.09895,1.09906,1.09895,1.09904,91.8
01.08.2023 03:19:00.000 GMT+0200,1.09904,1.09905,1.09897,1.09898,152.99
01.08.2023 03:20:00.000 GMT+0200,1.09898,1.09898,1.09893,1.09893,70.35
01.08.2023 03:21:00.000 GMT+0200,1.09897,1.09897,1.09888,1.09889,131.75
01.08.2023 03:22:00.000 GMT+0200,1.09888,1.09888,1.09884,1.09885,87.95
01.08.2023 03:23:00.000 GMT+0200,1.09884,1.09884,1.09875,1.09878,76.2
01.08.2023 03:24:00.000 GMT+0200,1.09879,1.09880,1.09878,1.09879,53.1
01.08.2023 03:25:00.000 GMT+0200,1.09879,1.09885,1.09877,1.09884,46.55
01.08.2023 03:26:00.000 GMT+0200,1.09884,1.09884,1.09877,1.09881,132.14
01.08.2023 03:27:00.000 GMT+0200,1.09881,1.09883,1.09877,1.09878,126.4
01.08.2023 03:28:00.000 GMT+0200,1.09880,1.09885,1.09880,1.09881,41.4
01.08.2023 03:29:00.000 GMT+0200,1.09881,1.09881,1.09875,1.09878,99.94
01.08.2023 03:30:00.000 GMT+0200,1.09878,1.09884,1.09874,1.09879,161.84
01.08.2023 03:31:00.000 GMT+0200,1.09879,1.09881,1.09875,1.09875,113.55
01.08.2023 03:32:00.000 GMT+0200,1.09874,1.09886,1.09872,1.09886,117.83
01.08.2023 03:33:00.000 GMT+0200,1.09886,1.09889,1.09880,1.09880,111.12
01.08.2023 03:34:00.000 GMT+0200,1.09880,1.09885,1.09874,1.09885,200.26
01.08.2023 03:35:00.000 GMT+0200,1.09886,1.09887,1.09884,1.09886,183.96
01.08.2023 03:36:00.000 GMT+0200,1.09888,1.09893,1.09886,1.09890,138.48
01.08.2023 03:37:00.000 GMT+0200,1.09889,1.09889,1.09883,1.09884,156.26
01.08.2023 03:38:00.000 GMT+0200,1.09885,1.09894,1.09884,1.09890,160.09
01.08.2023 03:39:00.000 GMT+0200,1.09888,1.09889,1.09878,1.09878,292.05
01.08.2023 03:40:00.000 GMT+0200,1.09879,1.09888,1.09873,1.09887,307.29
01.08.2023 03:41:00.000 GMT+0200,1.09886,1.09888,1.09875,1.09879,319.83
01.08.2023 03:42:00.000 GMT+0200,1.09880,1.09880,1.09868,1.09869,249.96
01.08.2023 03:43:00.000 GMT+0200,1.09868,1.09877,1.09859,1.09862,278.29
01.08.2023 03:44:00.000 GMT+0200,1.09861,1.09873,1.09861,1.09865,253.97
01.08.2023 03:45:00.000 GMT+0200,1.09864,1.09865,1.09840,1.09849,379.03
01.08.2023 03:46:00.000 GMT+0200,1.09850,1.09863,1.09850,1.09854,420.27
01.08.2023 03:47:00.000 GMT+0200,1.09853,1.09861,1.09850,1.09854,268.73
01.08.2023 03:48:00.000 GMT+0200,1.09856,1.09868,1.09854,1.09868,237.48
01.08.2023 03:49:00.000 GMT+0200,1.09869,1.09874,1.09866,1.09868,151.83
01.08.2023 03:50:00.000 GMT+0200,1.09869,1.09871,1.09863,1.09865,126.22
01.08.2023 03:51:00.000 GMT+0200,1.09864,1.09868,1.09863,1.09864,111.51
01.08.2023 03:52:00.000 GMT+0200,1.09863,1.09865,1.09863,1.09865,200.97
01.08.2023 03:53:00.000 GMT+0200,1.09865,1.09867,1.09865,1.09865,58.23
01.08.2023 03:54:00.000 GMT+0200,1.09866,1.09869,1.09862,1.09867,177.23
01.08.2023 03:55:00.000 GMT+0200,1.09868,1.09870,1.09865,1.09869,111.25
01.08.2023 03:56:00.000 GMT+0200,1.09869,1.09875,1.09869,1.09870,168.95
01.08.2023 03:57:00.000 GMT+0200,1.09870,1.09870,1.09865,1.09865,85
01.08.2023 03:58:00.000 GMT+0200,1.09864,1.09864,1.09858,1.09860,195.97
01.08.2023 03:59:00.000 GMT+0200,1.09858,1.09860,1.09855,1.09859,317.2
01.08.2023 04:00:00.000 GMT+0200,1.09858,1.09859,1.09848,1.09849,289.56
01.08.2023 04:01:00.000 GMT+0200,1.09848,1.09848,1.09844,1.09844,200.02
01.08.2023 04:02:00.000 GMT+0200,1.09845,1.09845,1.09838,1.09842,84.02
